,ID,Text,Date Created,Username,Twitter Screen Name,Location,Cleaned Text,Retweet,Retweeted Person
0,1137443012576010242,"b""RT @LeighNYC_Laura: @realDonaldTrump Ladies &amp; gents, have you met Donald J. Trump, America's most polarizing &amp; divisive President to ever d\xe2\x80\xa6""",2019-06-08 19:35:21,LLeigh_Laura 🌀 🌊,LeighNYC_Laura,"New York City, NY",LeighNYCLaura realDonaldTrump Ladies amp gents have you met Donald J Trump Americas most polarizing amp divisive President to ever d,True,@LeighNYC_Laura:
1,1137443009039966208,"b""RT @TeaPainUSA: Griftin' is in the Trump DNA. \n\nhttps://t.co/GCDRtcgUsl""",2019-06-08 19:35:20,Elisabeth Lenderman,elenderman,Southern California,TeaPainUSA Griftin is in the Trump DNA nnhttpstcoGCDRtcgUsl,True,@TeaPainUSA:
2,1137443008020975618,b'Donald Trump es sincero: dice que convino con M\xc3\xa9xico el tema de aranceles para evitar la marea migratoria. A AMLO l\xe2\x80\xa6 https://t.co/OqZGUiVhw0',2019-06-08 19:35:20,LU ALTUVE,LuAltuve,Entre el Caos y el Nirvana.,Donald Trump es sincero dice que convino con M el tema de aranceles para evitar la marea migratoria A AMLO l httpstcoOqZGUiVhw0,False,None
3,1137443005546319872,"b'RT @tribelaw: There\xe2\x80\x99s a third way I described in a WaPo op-ed on June 6 and @amjoyshow on June 8: \n\nHold televised, trial-like hearings in\xe2\x80\xa6'",2019-06-08 19:35:19,Want a New Legitimate President!,Hate45Always,Canada/USA,tribelaw There a third way I described in a WaPo oped on June 6 and amjoyshow on June 8 nnHold televised triallike hearings in,True,@tribelaw:
4,1137443004673929217,"b'RT @Brasilmagic: Donald Trump says the Queen had time of life in his company - Well, add that to his list of delusional lies. https://t.co/\xe2\x80\xa6'",2019-06-08 19:35:19,Sarie van Wyk,weskusgogga,,Brasilmagic Donald Trump says the Queen had time of life in his company  Well add that to his list of delusional lies httpstco,True,@Brasilmagic:
5,1137443001909862401,b'RT @donaldmackenz30: Trump Fact:\n\nDonald Trump has been SUED over 4000 times by\n\n1. His employees\n2. His clients\n3. His business partners\n4\xe2\x80\xa6',2019-06-08 19:35:18,SAC,sacdamb,"Virginia, USA",donaldmackenz30 Trump FactnnDonald Trump has been SUED over 4000 times bynn1 His employeesn2 His clientsn3 His business partnersn4,True,@donaldmackenz30:
6,1137442999863058432,"b'RT @kylegriffin1: When Eric and Donald, Jr. went on their Irish pub crawl last week and offered free rounds for the house, they failed to p\xe2\x80\xa6'",2019-06-08 19:35:18,Brando Cel,BigCelio,****,kylegriffin1 When Eric and Donald Jr went on their Irish pub crawl last week and offered free rounds for the house they failed to p,True,@kylegriffin1:
7,1137442998642495488,"b'RT @TomthunkitsMind: Before Lindsey Graham sold his soul, he called Donald Trump:\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbd a kook\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbd crazy\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbd unfit for office\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbd race-baiting\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbd\xe2\x80\xa6'",2019-06-08 19:35:18,Boca Noir,bocanoir,,TomthunkitsMind Before Lindsey Graham sold his soul he called Donald Trumpn a kookn crazyn unfit for officen racebaitingn,True,@TomthunkitsMind:
8,1137442993454100480,b'RT @LisaMei62: Division grows at McLean Bible Church in aftermath of Donald Trump visit https://t.co/Fqcsj1IKTf via @po_st',2019-06-08 19:35:16,Golden Light,GoldenL92116321,,LisaMei62 Division grows at McLean Bible Church in aftermath of Donald Trump visit httpstcoFqcsj1IKTf via post,True,@LisaMei62:
9,1137442989641490434,b'RT @ABC: Eric and Donald Trump Jr. have a toast at an Irish pub during their father\xe2\x80\x99s state visit. \xe2\x80\x9cThis is a lot better than New York City\xe2\x80\xa6',2019-06-08 19:35:16,@TracyWeaver,TracyWe53487943,"Missouri, USA",ABC Eric and Donald Trump Jr have a toast at an Irish pub during their father state visit  is a lot better than New York City,True,@ABC:
10,1137442988978839552,b'RT @sianoresist: Rudy Giuliani thinks Joe Biden is a criminal... but not Donald Trump.\n\nRaise your hand if you think Rudy Giuliani and Dona\xe2\x80\xa6',2019-06-08 19:35:15,DoubleDee,dmd1943,,sianoresist Rudy Giuliani thinks Joe Biden is a criminal but not Donald TrumpnnRaise your hand if you think Rudy Giuliani and Dona,True,@sianoresist:
11,1137442985929428992,b'RT @Stop_Trump20: BREAKING: President Donald Trump sent Mike Pence into space to bring proof that Moon is part Mars. https://t.co/xM6IGgQEw1',2019-06-08 19:35:15,Victor,Victor43683311,"Phoenix, AZ",StopTrump20 BREAKING President Donald Trump sent Mike Pence into space to bring proof that Moon is part Mars httpstcoxM6IGgQEw1,True,@Stop_Trump20:
12,1137442980833271809,"b'RT @kylegriffin1: When Eric and Donald, Jr. went on their Irish pub crawl last week and offered free rounds for the house, they failed to p\xe2\x80\xa6'",2019-06-08 19:35:13,scσtt вєαmєr​ 🌊,Scott_Beamer,"Vancouver, WA, United States",kylegriffin1 When Eric and Donald Jr went on their Irish pub crawl last week and offered free rounds for the house they failed to p,True,@kylegriffin1:
13,1137442979868753920,b'Jesus was less ideologically consistent than Donald Trump.',2019-06-08 19:35:13,Стефанов,mstefanov,,Jesus was less ideologically consistent than Donald Trump,False,None
14,1137442976219697153,"b'RT @kylegriffin1: When Eric and Donald, Jr. went on their Irish pub crawl last week and offered free rounds for the house, they failed to p\xe2\x80\xa6'",2019-06-08 19:35:12,Ellen Chang,EllenYChang,"Houston, Texas",kylegriffin1 When Eric and Donald Jr went on their Irish pub crawl last week and offered free rounds for the house they failed to p,True,@kylegriffin1:
