,Date Created,ID,Location,Text,Twitter Screen Name,Username
0,2019-05-15 03:49:12,1128507597168865281,Moab,"b""@arcidy_candid @lloyd_elis @krassenstein @realDonaldTrump I hate to tell you I'm 70  years old and I have watched t\xe2\x80\xa6 https://t.co/xP9D0SEf0P""",1billygolf1,James Ward
1,2019-05-15 03:49:12,1128507596774748165,,b'RT @Newsweek: #LindseyGrahamResign demands flood Twitter after he advised Donald Trump Jr. to ignore a subpoena https://t.co/o6iuf5RFbJ',BillLodgeTweets,Bill Lodge
2,2019-05-15 03:49:12,1128507595516469252,,"b'RT @MotherJones: Donald Trump does not see the irony in his love for the movie ""Citizen Kane."" https://t.co/7GS7O5FicL'",JasminWue,J. Arnold
3,2019-05-15 03:49:12,1128507595172532225,,b'RT @Santucci: A source close to Trump Jr says the president\xe2\x80\x99s eldest son is \xe2\x80\x9cincredibly appreciative to the members that went to bat for hi\xe2\x80\xa6',WayneFryback,REDACTED REDACTED REDACTED REDACTED
4,2019-05-15 03:49:11,1128507593113182210,France,b'@sianoresist Donald Trump became POTUS',nff_29,Aidan
5,2019-05-15 03:49:07,1128507577791385602,UK,"b'Donald Trump Sucks At Making Deals, Con King Of Bankruptcy \xe2\x80\x94 Duh https://t.co/kgzS3Y80Ki'",Chiron_INC,CHIRON INC
6,2019-05-15 03:49:07,1128507577694707713,Seattleish Washington,"b""RT @tonyposnanski: The Democrats are wrong to be shy about impeachment - putting Trump's lies and crimes on TV for weeks on end is probably\xe2\x80\xa6""",JenuineLeighJen,JenunineLeighJen
7,2019-05-15 03:49:06,1128507574087749632,"Newport Beach, CA","b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 (President Donald Trump) : RT EricTrump: Spare me? First you have never created a job in your life. Second, our\xe2\x80\xa6 https://t.co/Cv3hIbEyss'",realDonaldVoter,🇺🇸🎖 𝔇𝔬𝔫𝔞𝔩𝔡 𝔍. 𝔗𝔯𝔲𝔪𝔭 𝔳𝔬𝔱𝔢𝔯
8,2019-05-15 03:49:06,1128507571290169344,,"b'RT @SJW_Resistor: When you take an oath of office, you pledge to uphold the Rule of Law. Sen Graham chooses to ignore that and encourages o\xe2\x80\xa6'",EugeniaKozlows1,Eugenia Kozlowski
9,2019-05-15 03:49:06,1128507570887503873,China ,"b'Donald Trump Sucks At Making Deals, Con King Of Bankruptcy \xe2\x80\x94 Duh | CleanTechnica #belugasolar https://t.co/pYypyzCkcW'",Beluga_Solar,Beluga Solar
10,2019-05-15 03:49:06,1128507570002571264,"Hinsdale, il",b'RT @Newsweek: #LindseyGrahamResign demands flood Twitter after he advised Donald Trump Jr. to ignore a subpoena https://t.co/xuG3STFmZg',NLassandrello,noreen lassandrello
11,2019-05-15 03:49:05,1128507568576442368,"Texas, USA",b'RT @TeamCavuto: .@SenThomTillis to Neil: Donald Trump Jr. is rightfully hesitant to come before this Congress because most of the behavior\xe2\x80\xa6',SheilaS850,Sheez
12,2019-05-15 03:49:04,1128507564214321152,New York,b'RT @GeorgetownICAP: What would it mean to extend the statute of limitations for a president?\n\n@GeorgetownICAP\xe2\x80\x99s @jgeltzer analyzes the newl\xe2\x80\xa6',adirado29,ARM #VoteDEM
13,2019-05-15 03:49:04,1128507564092743680,"Alexandria, Indiana",b'RT @IlhanMN: This is chilling. Trump and John Bolton are openly laying the groundwork for another war.\n\nThe only thing we\xe2\x80\x99re relying on to\xe2\x80\xa6',OMGitstheGEEZ,Kyle
14,2019-05-15 03:49:04,1128507563904000009,"Michigan, USA","b""RT @tonyposnanski: The Democrats are wrong to be shy about impeachment - putting Trump's lies and crimes on TV for weeks on end is probably\xe2\x80\xa6""",Non0nsens3,VirgoResisting
