,Cleaned Text,Date Created,ID,Location,Retweet,Retweeted Person,Text,Twitter Screen Name,Username
0,WestWingReport Coming to a bookstore near you nDonald J Trump The Greatest Leader in the History of Western Civilization Paul Maxe2x80xa6,2019-05-17 06:19:23,1129270168192897025,"Phx AZ, LA CA, EDI Scotland",True,@WestWingReport:,"b'RT @WestWingReport: Coming to a bookstore near you: \n""Donald J. Trump: The Greatest Leader in the History of Western Civilization"" -Paul Ma\xe2\x80\xa6'",lobylyn,Abby Lynn Morley
1,Donald Trump has terminated the preferential trade agreement which provided Turkey with partial taxfree access toxe2x80xa6 httpstcoVxyO8y33oy,2019-05-17 06:19:21,1129270157463949312,"Islamabad, Pakistan",False,None,b'Donald Trump has terminated the preferential trade agreement which provided Turkey with partial tax-free access to\xe2\x80\xa6 https://t.co/VxyO8y33oy',newztodays,newztodays
2,Comedy gold baby  httpstcoovHVQAwNx5 via SadAndUseless,2019-05-17 06:19:20,1129270154213257216,East of Java,False,None,"b'Comedy gold, baby.  https://t.co/ovHVQAwNx5 via @SadAndUseless'",RageBot5000,TheDevil'sSnowflake
3,SethMacFarlane The Alabama decision is ominous but should surprise no one We elected a Republicancontrolled Senate We have a deeplxe2x80xa6,2019-05-17 06:19:17,1129270143127838720,,True,@SethMacFarlane:,"b'RT @SethMacFarlane: The Alabama decision is ominous, but should surprise no one. We elected a Republican-controlled Senate. We have a deepl\xe2\x80\xa6'",ForeverTena,Tena
4,RyanAFournier 10 Things that frighten Liberals nn1 The Constitutionn2 The American Flagn3 Donald J Trumpn4 Freedom of Speechn5xe2x80xa6,2019-05-17 06:19:17,1129270140607127552,"Fort Bliss, TX",True,@RyanAFournier:,b'RT @RyanAFournier: 10 Things that frighten Liberals: \n\n1. The Constitution\n2. The American Flag\n3. Donald J. Trump\n4. Freedom of Speech\n5.\xe2\x80\xa6',AlekiA6,Look Good(LG)
5,effiedog Just last year Trump took out an 11 Million loan  while he was in office Thats a VERY unusual thing for a president to doxe2x80xa6,2019-05-17 06:19:15,1129270134621790208,South,True,@effiedog:,"b""RT @effiedog: Just last year Trump took out an $11 Million loan - while he was in office. That's a VERY unusual thing for a president to do\xe2\x80\xa6""",Bonnieprintingp,Bonnieprintingpress
6,akkitwts They say Hillary Clinton is unlikeable They say Nancy Pelosi is unlikeable They say Elizabeth Warren Kirsten Gillibrand axe2x80xa6,2019-05-17 06:19:14,1129270130486067201,"Los Angeles, CA",True,@akkitwts:,"b'RT @akkitwts: They say Hillary Clinton is unlikeable. They say Nancy Pelosi is unlikeable. They say Elizabeth Warren, Kirsten Gillibrand, a\xe2\x80\xa6'",K_Moonbeam,Kalyn Moonbeam
7,I punched Joe because it fleeced Donald Trump,2019-05-17 06:19:14,1129270129139822592,,False,None,b'I punched Joe because it fleeced Donald Trump.',ShitPosterBot,Shit Poster
8,ChrisMurphyCT Before Trump told the Pentagon he didnxe2x80x99t want war the Pentagon told HIM not to cancel the nuclear agreement and not toxe2x80xa6,2019-05-17 06:19:14,1129270128221270016,"Chicago, IL",True,@ChrisMurphyCT:,"b'RT @ChrisMurphyCT: Before Trump told the Pentagon he didn\xe2\x80\x99t want war, the Pentagon told HIM not to cancel the nuclear agreement and not to\xe2\x80\xa6'",tabora_X,JT
9,YES ocean trash is real but orange sparrows playing ice hockey in Donald Trumps shower are not Are they,2019-05-17 06:19:12,1129270122319962112,,False,None,"b""YES, ocean trash is real but orange sparrows playing ice hockey in Donald Trump's shower are not. Are they?""",m_r_s_h_n,#thestruggleisreal
10,The event was overshadowed by President Donald Trumps attempt to insult Sen Elizabeth Warren by calling her  to txe2x80xa6 httpstcoUbYlh7r5lj,2019-05-17 06:19:12,1129270120721858560,"Arlington, TX",False,None,"b""The event was overshadowed by President Donald Trump's attempt to insult Sen. Elizabeth Warren by calling her  to t\xe2\x80\xa6 https://t.co/UbYlh7r5lj""",tsbrenterprises,mike kaswatuka
11,HouseGOP who xf0x9fxa4x94xf0x9fxa4x94xf0x9fxa4x94 httpstcoKBQGaOfQNK,2019-05-17 06:19:11,1129270116443512832,,False,None,b'@HouseGOP who \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 https://t.co/KBQGaOfQNK',Geert76986659,Geert
12,USEmbassyPOM Erin McKee has been nominated to be the next Ambassador to PNGSIVanuatu   httpstcozvX0lKcnbP via whitehouse,2019-05-17 06:19:09,1129270111041462272,USA,True,@USEmbassyPOM:,b'RT @USEmbassyPOM: Erin McKee has been nominated to be the next Ambassador to PNG/SI/Vanuatu!!   https://t.co/zvX0lKcnbP via @whitehouse',usaspan,✌️247 World News 🇺🇸
13,Reuters JUST IN Hungary Prime Minister Viktorxc2xa0Orban says he discussed purchase of midrange airdefense missiles with US Presidentxe2x80xa6,2019-05-17 06:19:09,1129270110529695744,,True,@Reuters:,b'RT @Reuters: JUST IN: Hungary Prime Minister Viktor\xc2\xa0Orban says he discussed purchase of mid-range air-defense missiles with U.S. President\xe2\x80\xa6',twitsandbox1,twitsandbox
14,RyanAFournier realDonaldTrump BilldeBlasio RudyGiuliani The biggest fool to ever speak on TV live before Donaldxe2x80xa6 httpstco8iV7obNmcV,2019-05-17 06:19:08,1129270106108776449,,False,None,b'@RyanAFournier @realDonaldTrump @BilldeBlasio @RudyGiuliani The biggest fool to ever speak on TV live before Donald\xe2\x80\xa6 https://t.co/8iV7obNmcV',Kevin09157840,Kevin
