,ID,Text,Date Created,Username,Twitter Screen Name,Location,Cleaned Text,Retweet,Retweeted Person
0,1138872938390872064,"b'Elon Musk, at Tesla shareholder meeting, promises \xe2\x80\x9c400-mile range car\xe2\x80\x9d - CNBC\n\nAt this point it would be shorter to\xe2\x80\xa6 https://t.co/0WX6RuqYs6'",2019-06-12 18:17:22,TennesseeQVentures 🌹,RichardKeppler1,San Junipero,Elon Musk at Tesla shareholder meeting promises  range car  CNBCnnAt this point it would be shorter to ,False,None
1,1138872892727406593,"b'Tesla presentar\xc3\xa1 este mismo a\xc3\xb1o una \xe2\x80\x9ccamioneta cyberpunk\xe2\x80\x9d, seg\xc3\xban Elon Musk https://t.co/mkknuflVvp https://t.co/DxBLYZeJxH'",2019-06-12 18:17:11,R Daneel Olivaw 🎗,RDaneeIOIivaw,Aurora,Tesla presentar este mismo a una  cyberpunk seg Elon Musk  ,False,None
2,1138872834644750336,b'RT @CGrantWSJ: Get ready for the California lithium rush? https://t.co/xZDP9Z6tms',2019-06-12 18:16:57,Dᴇɴɪs Jᴇʟᴇᴄ,denisjelec,Stockholm,CGrantWSJ Get ready for the California lithium rush ,True,@CGrantWSJ:
3,1138872475591368704,"b'RT @goodcharls: I\'ll be chatting with ""Hot"" Toddy Howard and Elon ""Ruler of Mars colony"" Musk AKA Elon Old Spice today at e3 and we\'re gonn\xe2\x80\xa6'",2019-06-12 18:15:32,Punished Capybara,lordstedward,Tartarus,goodcharls I be chatting with Hot Toddy Howard and Elon Ruler of Mars colony Musk AKA Elon Old Spice today at e3 and we gonn,True,@goodcharls:
4,1138872405290606592,"b""Tesla's Possible 'Record Quarter' and 9 Other Notable Things Elon Musk Shared https://t.co/TBXGqu5BDi via @TheStreet""",2019-06-12 18:15:15,Jeffrey Weber,jjjinvesting,"San Antonio, TX",Teslas Possible Record Quarter and 9 Other Notable Things Elon Musk Shared  via TheStreet,False,None
5,1138872385573011456,"b'RT @muralcom: El magnate Elon Musk, accionista de empresas como Tesla, estar\xc3\xada dispuesto a comprar los derechos de #GameOfThrones para reha\xe2\x80\xa6'",2019-06-12 18:15:10,Luis Guillermo Jr,GuillermoJr10,,muralcom El magnate Elon Musk accionista de empresas como Tesla estar dispuesto a comprar los derechos de GameOfThrones para reha,True,@muralcom:
6,1138872353343934464,"b'RT @JennyENicholson: I just found out Miley Cyrus has a new song where she raps ""I\'ma keep working from dawn \'til dusk // So I can buy cars\xe2\x80\xa6'",2019-06-12 18:15:02,waiting for the fall of the empire,UnmellowM,"San Jacinto, CA",JennyENicholson I just found out Miley Cyrus has a new song where she raps I keep working from dawn  dusk  So I can buy cars,True,@JennyENicholson:
7,1138872177170821120,"b""RT @PaulGrunelius: \xf0\x9f\xa4\x96 C'est d\xc3\xa9j\xc3\xa0 l'avant-derni\xc3\xa8re Vigie de l'ann\xc3\xa9e dans @LUsineDigitale (j'y \xc3\xa9voque notamment l'IA \xc3\xa0 Hollywood et un algorit\xe2\x80\xa6""",2019-06-12 18:14:20,RH Management,christophebys,paris france,PaulGrunelius  Cest d lavantderni Vigie de lann dans LUsineDigitale jy  notamment lIA  Hollywood et un algorit,True,@PaulGrunelius:
8,1138872158858481664,"b""RT @christophebys: [La Vigie avec Artefact] Elon Musk City, Wikip\xc3\xa9dia et la pub, et quand l'IA a la m\xc3\xa9moire qui flanche...  https://t.co/no\xe2\x80\xa6""",2019-06-12 18:14:16,RH Management,christophebys,paris france,christophebys La Vigie avec Artefact Elon Musk City Wikip et la pub et quand lIA a la m qui flanche  ,True,@christophebys:
9,1138872126239232000,b'Just found out Elon Musk doesn\xe2\x80\x99t follow me back on Twitter.. I just feel like I\xe2\x80\x99m the only one trying you know ?',2019-06-12 18:14:08,IFEYINWA 🇳🇬,ifeyinwaao,,Just found out Elon Musk doesn follow me back on Twitter I just feel like I the only one trying you know ,False,None
