,ID,Text,Date Created,Username,Twitter Screen Name,Location,Cleaned Text,Retweet,Retweeted Person
0,1137404245617942528,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 17:01:18,Jrraras,jrraras,,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
1,1137326943127269376,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 11:54:08,Hazel❤️EXO_DONGHAE,Hazel699__pex,Singapore,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
2,1137326162328391681,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 11:51:02,Jessica Eugenio,JessicaEugeni19,"Kentucky, USA",SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
3,1137273812620271616,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 08:23:01,SETHsters BACOLOD,SETHstersBCD,Republic of the Philippines,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
4,1137195761400049671,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 03:12:52,Sethsters,Sethsters4,,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
5,1137173425703702529,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 01:44:07,Seth X Mikoy X RJ 🤘🍟,vannie1809,,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
6,1137169146607591424,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 01:27:06,Alex,lausa_alex,,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
7,1137166023499501568,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 01:14:42,imArchiiebasas,ArchieBasas3,"Rizal, Calabarzon",SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
8,1137153196059533312,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 00:23:43,PBB KaoRhys Loveteam,kaori_eugenio19,Republic of the Philippines,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
9,1137148200308002816,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-08 00:03:52,yena ✨,yenamndz,,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
10,1137119435800506368,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-07 22:09:34,Wanita Saleha 💙⛈️,HadzniR,Republic of the Philippines,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
11,1137047613600018432,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-07 17:24:11,kao. seth.,mika_noces,Republic of the Philippines,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
12,1137028056801955840,"b'RT @SETHstersPNGSN: Parang nakikita nga daw na Seth is the next Daniel Padilla, ikaw daw ang next Enrique Gill? \n\n\xe2\x80\x9cSana siya yung next Seth\xe2\x80\xa6'",2019-06-07 16:06:28,Seth💛,sethfedelin09,,SETHstersPNGSN Parang nakikita nga daw na Seth is the next Daniel Padilla ikaw daw ang next Enrique Gill nn siya yung next Seth,True,@SETHstersPNGSN:
